id	filename	md5	size	state
c513e921-7469-4242-9032-95e58a1b47ea	ad727ebe-3cd4-438e-9851-f48925496cd5.rna_seq.augmented_star_gene_counts.tsv	9f68e0934d60b42a2224f08d5ad46f6b	4242632	released
48b3b618-8d53-49ae-9f51-7f35a21b36a9	9c11aa57-3406-40a0-828e-590854118d6e.rna_seq.augmented_star_gene_counts.tsv	bc41a424d71c750d542b0a39168c797b	4234613	released
369d20fb-7c1a-4386-8732-c1c5bce0a344	5330033a-c8c2-4741-bbc6-7954a6f6ee48.rna_seq.augmented_star_gene_counts.tsv	ff7cdeaa1f211ac2b51ed630c0543c03	4207421	released
bcb4f21a-7886-4d88-ab22-1f4640370036	7a90094c-4599-422c-9a09-e41f557cc175.rna_seq.augmented_star_gene_counts.tsv	8061aae6770479220fd9fadfb385f01a	4280449	released
d98d88b2-195a-4897-aa77-c2bbdc0e1707	63fee05f-ac6b-452e-8a1f-129ca537c459.rna_seq.augmented_star_gene_counts.tsv	b544d49168d51acebe418333f61770b9	4203404	released
710df862-d28b-4596-926d-dbab3e89edab	059e7de0-52e6-409b-a511-c3f641da63e3.rna_seq.augmented_star_gene_counts.tsv	4163e861fa86bcf1269a01d1c51f3d53	4204142	released
96d140e5-1859-4690-ac54-cedb8d713b4f	682a7451-6f16-434d-ba4d-cf425efadf66.rna_seq.augmented_star_gene_counts.tsv	3c0df3111bbe8f80211712f09b222830	4199647	released
02cdd8f6-a044-45d3-ad24-de24a7214c95	25e152c1-bbdd-404d-853c-d21d6e6d2962.rna_seq.augmented_star_gene_counts.tsv	0ba87f59534fd1f4700f0f65ff8e4a06	4211940	released
a40e28c3-b3ed-4edf-bfce-71dfb740e8a6	d8bb9aab-ed89-4087-b0dc-0a43d06e3256.rna_seq.augmented_star_gene_counts.tsv	33ef0d6b659ccc743526d4593be7a8ca	4230911	released
7cb6720b-d3dc-4655-b942-dc6588372711	3de74830-ab78-46c3-bab6-0b78181f7d67.rna_seq.augmented_star_gene_counts.tsv	75f0f9cea8c3b56b75af20c3616893b0	4212192	released
3f7bd19f-bcfc-4327-a1e2-bc30b4f6e861	bb59bcb8-86e2-4c34-8946-385e20ab5ffb.rna_seq.augmented_star_gene_counts.tsv	601da511f7ad8c7eb4c35b1e3f078706	4237495	released
33450be4-919f-4142-9650-813eb72f1870	a44e1a59-b04a-4581-8657-3476ae4019c3.rna_seq.augmented_star_gene_counts.tsv	c34e4a57761cb9d547598fe1adf555f3	4240355	released
4bed9101-07f4-4d76-b79f-6eb8de04bd19	2856d609-b09a-486e-8552-23abaa1df201.rna_seq.augmented_star_gene_counts.tsv	c4664928ffeed375a6ab93a7a80d8db1	4243935	released
477a4ae1-84c0-49f2-b3b3-4015b8c26f18	4250878d-ba0b-47e1-96c6-f2331f93ce37.rna_seq.augmented_star_gene_counts.tsv	ea45d49f0aff6cb935f93fcfd9beaef5	4237877	released
64a2ddbe-3614-409a-af16-170a1471db2a	3404cbdb-4d1b-462a-a820-58c4f01e84fc.rna_seq.augmented_star_gene_counts.tsv	807fc847881f8876e7d9a35c8cc5661d	4249319	released
bb7388dc-7ad7-4489-a21e-9058500f8243	da9673bd-3c52-4835-ac40-e7fa0083115e.rna_seq.augmented_star_gene_counts.tsv	960feb29f9e4f32ffc7e1c31e303a63a	4223863	released
68ac1641-5d4d-478b-bec5-a4c9391e3bb1	ab61de7b-a3a5-47c6-8eee-86c1f54a1dd0.rna_seq.augmented_star_gene_counts.tsv	921724809f5b5161d453d9c21eee27a7	4235190	released
049fed5d-ea56-4406-8db9-0118d23c490b	0cc54997-16b1-41ec-9e22-e9618a890158.rna_seq.augmented_star_gene_counts.tsv	40739f39e7286c234a6a2808cad1f849	4230954	released
92a38dab-98c2-4396-8111-cedc12b9b598	1a0fe914-cf16-44b9-b2ba-9c3f82249c25.rna_seq.augmented_star_gene_counts.tsv	7fd13cafb0c9aba629467ed67e0c635a	4232673	released
